745	332.16
745	284.4
745	231
16658	2273.22
16490	4075.88
16490	2889.1
139	76.12
139	69.2
725	269.88
253	155.7
150	51.9
7215	2082.92
6304	3674.52
6780	4276.56
6780	2219
7427	5297.25
1190	909.98
1330	1284.54
2810	1188.16
1298	674.7
1298	612.42
622	397.9
141	86.5
141	83.04
141	83.04
10334	4657.16
7313	4906.28
7313	4826.7
282	211.06
253	186.84
6686	3650.3
6686	1890
575	238.74
180	103.8
180	103.8
8786	404.82
812	686
2612	3377.5
2612	2472.75
740	435.96
1742	2249
1756	2031.02
5731	4484.16
4867	3062.1
1495	920.36
1793	2179.8
5190	6089.6
9450	3532.66
4092	550.14
4118	550.14
4118	480.94
4118	477.48
6683	4771.34
12103	12459.46
6958	523.25
474	166.08
11786	13646.24
11786	11452.6
2073	1332.1
120	49
10135	13182.6
10135	8694.98
15191	13988.78
15191	7324.82
15191	11559.86
15191	8110.24
10135	13667
10498	6944.22
446	162.62
10498	8916.42
1200	501.7
1200	521.5
10472	9954.42
9627	12542.5
9627	6430
9227	9771.04
9227	9151.7
9126	1003.4
9126	667.78
8963	999.94
9613	5311.1
1729	3532.09
404	284.04
8247	9812.53
684	739.03
4589	5446.73
484	329
994	38.5
8224	50081.5
8224	43916.25
8224	50303.75
8224	37420.25
8912	31122
8912	27744.5
8912	22804.25
8912	33727.12
182	154
135	59.5
182	159.25
361	402
8250	23983.75
2316	605.5
2316	556.5
9074	53660.25
9074	23849
9074	48952.08
6367	7607.25
6367	13345.22
9074	24687.25
6367	5965.04
298	235.28
342	242.2
140	114.18
140	76.12
180	110.72
132	48.44
358	179.92
135	148.78
4500	5228.06
19907	30406.48
83	36.96
4213	2017.18
4111	4760.96
6530	633.18
3694	4873.75
746	906.52
9695	7899.18
9695	6771.22
16844	56955.06
16844	39866.12
5518	16348.5
5518	5750.52
20761	32316.4
20761	26655.84
19947	25424.08
270	159.16
3828	14196.38
1369	702.38
1369	702.38
75	49
2206	2704
2206	1400
2970	1467.04
1350	768.12
476	1064
670	146
9414	9487.32
670	155.7
8344	14739.6
9864	19192.62
379	121
285	138.4
489	186.84
975	256.04
2579	2287.06
4713	3899.42
4725	4965.1
157	197.22
4076	4345.76
4322	3069.02
157	134.94
4626	166259.92
523	193.76
523	190.3
975	228.36
215	134.94
239	200.68
95	69.2
95	72.66
95	121.1
4785	4626.02
80	44.25
860	988.88
